id,flight_date,flight_number,airline_code,airline_name,origin,destination,scheduled_departure,actual_departure,scheduled_arrival,actual_arrival,departure_delay,arrival_delay,status
1,2025-06-06,9185,AA,American Airlines,DEL,BOM,01:45:00,02:01:00,04:15:00,04:07:00,16,16,delayed
2,2025-06-06,853,6E,IndiGo,DEL,BOM,01:45:00,02:01:00,04:15:00,04:07:00,16,16,delayed
3,2025-06-06,201,BZ,Blue Dart Aviation,DEL,BOM,01:50:00,02:20:00,04:10:00,04:25:00,31,15,on_time
4,2025-06-06,2421,AI,Air India,DEL,BOM,02:15:00,02:29:00,04:40:00,04:25:00,15,15,on_time
5,2025-06-06,803,BZ,Blue Dart Aviation,DEL,BOM,02:20:00,,04:40:00,,0,0,on_time
6,2025-06-06,321,QO,Quikjet Cargo Airlines,DEL,BOM,03:00:00,03:15:00,05:10:00,05:00:00,15,15,on_time
7,2025-06-06,6466,AF,Air France,DEL,BOM,01:45:00,02:01:00,04:15:00,04:07:00,16,16,delayed
8,2025-06-06,9071,JL,Japan Airlines,DEL,BOM,01:45:00,02:01:00,04:15:00,04:07:00,16,16,delayed
9,2025-06-06,5279,QF,Qantas,DEL,BOM,01:45:00,02:01:00,04:15:00,04:07:00,16,16,delayed
10,2025-06-06,8733,VS,Virgin Atlantic,DEL,BOM,01:45:00,02:01:00,04:15:00,04:07:00,16,16,delayed
11,2025-06-06,2766,6E,IndiGo,DEL,BOM,03:55:00,04:11:00,06:15:00,05:47:00,17,17,delayed
12,2025-06-06,8779,BA,British Airways,DEL,BOM,05:00:00,05:15:00,07:20:00,06:51:00,16,16,delayed
13,2025-06-06,9227,JL,Japan Airlines,DEL,BOM,05:00:00,05:15:00,07:20:00,06:51:00,16,16,delayed
14,2025-06-06,3657,KL,KLM,DEL,BOM,05:00:00,05:15:00,07:20:00,06:51:00,16,16,delayed
15,2025-06-06,5267,QF,Qantas,DEL,BOM,05:00:00,05:15:00,07:20:00,06:51:00,16,16,delayed
16,2025-06-06,8726,VS,Virgin Atlantic,DEL,BOM,05:00:00,05:15:00,07:20:00,06:51:00,16,16,delayed
17,2025-06-06,449,6E,IndiGo,DEL,BOM,05:00:00,05:15:00,07:20:00,06:51:00,16,16,delayed
18,2025-06-06,9184,AA,American Airlines,DEL,BOM,03:55:00,04:11:00,06:15:00,05:47:00,17,17,delayed
19,2025-06-06,8781,BA,British Airways,DEL,BOM,03:55:00,04:11:00,06:15:00,05:47:00,17,17,delayed
20,2025-06-06,9074,JL,Japan Airlines,DEL,BOM,03:55:00,04:11:00,06:15:00,05:47:00,17,17,delayed
21,2025-06-06,5289,QF,Qantas,DEL,BOM,03:55:00,04:11:00,06:15:00,05:47:00,17,17,delayed
22,2025-06-06,8734,VS,Virgin Atlantic,DEL,BOM,03:55:00,04:11:00,06:15:00,05:47:00,17,17,delayed
23,2025-06-06,2927,AI,Air India,DEL,BOM,05:45:00,06:08:00,08:10:00,07:50:00,23,23,delayed
24,2025-06-06,2975,AI,Air India,DEL,BOM,05:55:00,06:06:00,08:20:00,07:42:00,11,11,on_time
25,2025-06-06,6218,6E,IndiGo,DEL,BOM,06:00:00,06:05:00,08:10:00,07:54:00,5,5,on_time
26,2025-06-06,9251,JL,Japan Airlines,DEL,BOM,06:00:00,06:05:00,08:10:00,07:54:00,5,5,on_time
27,2025-06-06,3648,KL,KLM,DEL,BOM,06:00:00,06:05:00,08:10:00,07:54:00,5,5,on_time
28,2025-06-06,5295,QF,Qantas,DEL,BOM,06:00:00,06:05:00,08:10:00,07:54:00,5,5,on_time
29,2025-06-06,8740,VS,Virgin Atlantic,DEL,BOM,06:00:00,06:05:00,08:10:00,07:54:00,5,5,on_time
30,2025-06-06,2429,AI,Air India,DEL,BOM,07:00:00,07:09:00,09:15:00,08:48:00,10,10,on_time
31,2025-06-06,6814,6E,IndiGo,DEL,BOM,07:00:00,06:59:00,09:15:00,08:36:00,0,0,on_time
32,2025-06-06,2943,AI,Air India,DEL,BOM,07:30:00,07:45:00,09:35:00,09:21:00,15,15,on_time
33,2025-06-06,675,6E,IndiGo,DEL,BOM,08:00:00,08:11:00,10:25:00,09:51:00,11,11,on_time
34,2025-06-06,1719,QP,Akasa Air,DEL,BOM,08:30:00,09:02:00,10:55:00,10:43:00,32,32,delayed
35,2025-06-06,2678,AI,Air India,DEL,BOM,08:30:00,08:58:00,10:50:00,10:38:00,29,29,delayed
36,2025-06-06,5270,LH,Lufthansa,DEL,BOM,05:45:00,06:08:00,08:10:00,07:50:00,23,23,delayed
37,2025-06-06,4441,LO,LOT - Polish Airlines,DEL,BOM,05:55:00,06:06:00,08:20:00,07:42:00,11,11,on_time
38,2025-06-06,5284,LH,Lufthansa,DEL,BOM,05:55:00,06:06:00,08:20:00,07:42:00,11,11,on_time
